"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","Front","Rear","Fr.Det","Rr.Det","platform","Group","sp.group"
"1","1","20120308_002 1","UNSC",0,0,0,0,"143","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 1","UNSC"
"2","2","20120308_002 2","UNLO",0,0,0,0,"148","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 2","UNLO"
"3","5","20120308_002 5","SUSC",6,0,0,0,"203","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 5","surf scoter"
"4","6","20120308_002 5","UNSC",0,0,0,11,"0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","0","1","1","2 5","UNSC"
"5","9","20120308_002 8","COLO",1,1,1,1,"330","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","2 8","common loon"
"6","11","20120308_003 2","BUFF",0,1,1,1,"410","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 2","bufflehead"
"7","12","20120308_003 3","GULL",1,1,1,1,"415","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 3","gull"
"8","13","20120308_003 4","HOGR",1,0,0,0,"269","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","horned grebe"
"9","14","20120308_003 4","UNDD",0,0,0,3,"0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","0","1","1","3 4","UNDD"
"10","15","20120308_003 4","WEGR",7,1,1,1,"435","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","western grebe"
"11","16","20120308_003 5","WEGR",1,0,0,0,"285","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 5","western grebe"
"12","17","20120308_003 6","WEGR",1,1,1,1,"505","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 6","western grebe"
"13","19","20120308_004 2","WEGR",1,0,0,0,"327","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 2","western grebe"
